SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,Remark
1361,4,W41709558396318-akK0O,Manila tamarind Tree,Pithecellobium dulce,19.31254632,76.49852693,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1362,4,W41709558408124-akK0O,Shisham Tree,Dalbergia sissoo,19.31268459,76.4986768,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1363,4,W41709558408682-akK0O,Shisham Tree,Dalbergia sissoo,19.31268586,76.49880521,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1364,4,W41709558439965-akK0O,Subabul Tree,Leucaena leucocephala,19.31284881,76.49892423,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1365,4,W41709558457236-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31298835,76.49884678,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1366,4,W41709558457951-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31303865,76.4988146,45,26,10_50,20,Good,Ward 4,Vivek Hake,Good
1367,4,W41709558458571-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31309624,76.49882466,57,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1368,4,W41709558460982-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31318389,76.49881024,74,42,10_50,33,Good,Ward 4,Vivek Hake,Good
1369,4,W41709558461405-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31313516,76.49892122,72,41,10_50,32,Good,Ward 4,Vivek Hake,Good
1370,4,W41709558462237-akK0O,Nilgiri Tree,Eucalyptus globulus,19.3131437,76.49879113,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1371,4,W41709558463625-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31326046,76.49895642,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1372,4,W41709558464160-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31319369,76.49895072,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1373,4,W41709558464733-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31322913,76.49891619,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1374,4,W41709558465302-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31333671,76.49894334,53,30,10_50,24,Good,Ward 4,Vivek Hake,Good
1375,4,W41709558466100-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31341233,76.49892189,47,27,10_50,21,Good,Ward 4,Vivek Hake,Good
1376,4,W41709558467716-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31320509,76.4988602,48,27,10_50,22,Good,Ward 4,Vivek Hake,Good
1377,4,W41709558469737-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31296113,76.49875693,41,23,10_50,18,Good,Ward 4,Vivek Hake,Good
1378,4,W41709558470962-akK0O,Nilgiri Tree,Eucalyptus globulus,19.31307979,76.4987063,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1379,4,W41709558485310-akK0O,Ashoka Tree,Saraca asoca,19.31291051,76.49898425,51,29,10_50,23,Good,Ward 4,Vivek Hake,Good
1380,4,W41709558500931-akK0O,Peepal Tree,Ficus religiosa,19.31295639,76.49900369,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1381,4,W41709558501614-akK0O,Peepal Tree,Ficus religiosa,19.31299088,76.49904694,59,34,10_50,26,Good,Ward 4,Vivek Hake,Good
1382,4,W41709558515119-akK0O,Peepal Tree,Ficus religiosa,19.31313105,76.49905767,50,29,10_50,22,Good,Ward 4,Vivek Hake,Good
1383,4,W41709558525425-akK0O,Karanja Tree,Milletia Pinnata,19.31311681,76.49912842,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1384,4,W41709558531724-akK0O,Karanja Tree,Milletia Pinnata,19.31315889,76.4991606,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1385,4,W41709558538878-akK0O,Neem Tree,Azadirachta indica,19.31322534,76.49921961,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1386,4,W41709558552238-akK0O,Subabul Tree,Leucaena leucocephala,19.31326868,76.49923436,45,26,10_50,20,Good,Ward 4,Vivek Hake,Good
1387,4,W41709558555145-akK0O,Subabul Tree,Leucaena leucocephala,19.31329589,76.49927191,57,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1388,4,W41709558568287-akK0O,Gulmohar Tree,Delonix regia,19.31337278,76.49930444,54,31,10_50,24,Good,Ward 4,Vivek Hake,Good
1389,4,W41709558582841-akK0O,Neem Tree,Azadirachta indica,19.31342784,76.49910528,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1390,4,W41709558592018-akK0O,Neem Tree,Azadirachta indica,19.31375374,76.49936546,74,42,10_50,33,Good,Ward 4,Vivek Hake,Good
1391,4,W41709568520825-akK0O,Coconut Tree,Cocos nucifera,19.30626515,76.49187371,72,41,10_50,32,Good,Ward 4,Vivek Hake,Good
1392,4,W41709568521512-akK0O,Coconut Tree,Cocos nucifera,19.30624079,76.49194144,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1393,4,W41709568522932-akK0O,Coconut Tree,Cocos nucifera,19.30623414,76.49201252,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1394,4,W41709568523621-akK0O,Coconut Tree,Cocos nucifera,19.30622655,76.49206717,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1395,4,W41709568524863-akK0O,Coconut Tree,Cocos nucifera,19.30619301,76.49212953,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1396,4,W41709568525367-akK0O,Coconut Tree,Cocos nucifera,19.30618478,76.4921996,53,30,10_50,24,Good,Ward 4,Vivek Hake,Good
1397,4,W41709568526663-akK0O,Coconut Tree,Cocos nucifera,19.30616516,76.49227504,47,27,10_50,21,Good,Ward 4,Vivek Hake,Good
1398,4,W41709568527297-akK0O,Coconut Tree,Cocos nucifera,19.30615599,76.49235215,48,27,10_50,22,Good,Ward 4,Vivek Hake,Good
1399,4,W41709568528640-akK0O,Coconut Tree,Cocos nucifera,19.30613384,76.49241451,41,23,10_50,18,Good,Ward 4,Vivek Hake,Good
1400,4,W41709568529404-akK0O,Coconut Tree,Cocos nucifera,19.30610061,76.49252448,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1401,4,W41709568530747-akK0O,Coconut Tree,Cocos nucifera,19.30606486,76.49267334,51,29,10_50,23,Good,Ward 4,Vivek Hake,Good
1402,4,W41709568531992-akK0O,Coconut Tree,Cocos nucifera,19.30603132,76.49275046,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1403,4,W41709568532525-akK0O,Coconut Tree,Cocos nucifera,19.30602277,76.49282254,59,34,10_50,26,Good,Ward 4,Vivek Hake,Good
1404,4,W41709568532998-akK0O,Coconut Tree,Cocos nucifera,19.30601613,76.49290267,50,29,10_50,22,Good,Ward 4,Vivek Hake,Good
1405,4,W41709568534322-akK0O,Coconut Tree,Cocos nucifera,19.30598037,76.49295263,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1406,4,W41709568534960-akK0O,Coconut Tree,Cocos nucifera,19.30596835,76.49301901,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1407,4,W41709568536333-akK0O,Coconut Tree,Cocos nucifera,19.30597088,76.49309345,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1408,4,W41709568536920-akK0O,Coconut Tree,Cocos nucifera,19.30596075,76.49315916,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1409,4,W41709568537475-akK0O,Coconut Tree,Cocos nucifera,19.30589905,76.4931605,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1410,4,W41709568538095-akK0O,Coconut Tree,Cocos nucifera,19.30571996,76.49315245,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1411,4,W41709568540334-akK0O,Coconut Tree,Cocos nucifera,19.30550764,76.49302874,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1412,4,W41709568540825-akK0O,Coconut Tree,Cocos nucifera,19.30552979,76.49296738,45,26,10_50,20,Good,Ward 4,Vivek Hake,Good
1413,4,W41709568544420-akK0O,Coconut Tree,Cocos nucifera,19.30560731,76.49270687,72,41,10_50,32,Good,Ward 4,Vivek Hake,Good
1414,4,W41709568545662-akK0O,Coconut Tree,Cocos nucifera,19.30561902,76.49262473,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1415,4,W41709568547115-akK0O,Coconut Tree,Cocos nucifera,19.30569116,76.49241753,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1416,4,W41709568547639-akK0O,Coconut Tree,Cocos nucifera,19.30569243,76.49234042,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1417,4,W41709568549062-akK0O,Coconut Tree,Cocos nucifera,19.30573578,76.49221905,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1418,4,W41709568549520-akK0O,Coconut Tree,Cocos nucifera,19.30573356,76.49213824,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1419,4,W41709568550875-akK0O,Coconut Tree,Cocos nucifera,19.30577343,76.49205476,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1420,4,W41709568551447-akK0O,Coconut Tree,Cocos nucifera,19.30578261,76.49199508,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1421,4,W41709568551953-akK0O,Coconut Tree,Cocos nucifera,19.30580571,76.49192501,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1422,4,W41709568553673-akK0O,Coconut Tree,Cocos nucifera,19.30581773,76.49184622,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1423,4,W41709568555757-akK0O,Coconut Tree,Cocos nucifera,19.30584621,76.49174061,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1424,4,W41709568657109-akK0O,Coconut Tree,Cocos nucifera,19.30854907,76.49456464,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1425,4,W41709568657647-akK0O,Coconut Tree,Cocos nucifera,19.3085535,76.49447579,45,26,10_50,20,Good,Ward 4,Vivek Hake,Good
1426,4,W41709568658921-akK0O,Coconut Tree,Cocos nucifera,19.30855255,76.49440002,57,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1427,4,W41709568660602-akK0O,Coconut Tree,Cocos nucifera,19.30855825,76.49429306,54,31,10_50,24,Good,Ward 4,Vivek Hake,Good
1428,4,W41709568661207-akK0O,Coconut Tree,Cocos nucifera,19.30855793,76.49419382,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1429,4,W41709568662462-akK0O,Coconut Tree,Cocos nucifera,19.30855255,76.49412777,74,42,10_50,33,Good,Ward 4,Vivek Hake,Good
1430,4,W41709568663036-akK0O,Coconut Tree,Cocos nucifera,19.3085342,76.49403691,72,41,10_50,32,Good,Ward 4,Vivek Hake,Good
1431,4,W41709568664735-akK0O,Coconut Tree,Cocos nucifera,19.30855255,76.49398394,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1432,4,W41709568665340-akK0O,Coconut Tree,Cocos nucifera,19.30855034,76.49384648,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1433,4,W41709568667170-akK0O,Coconut Tree,Cocos nucifera,19.30854875,76.49375059,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1434,4,W41709568670047-akK0O,Coconut Tree,Cocos nucifera,19.30854844,76.49359904,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1435,4,W41709568699363-akK0O,Coconut Tree,Cocos nucifera,19.30940055,76.4935977,53,30,10_50,24,Good,Ward 4,Vivek Hake,Good
1436,4,W41709568700263-akK0O,Coconut Tree,Cocos nucifera,19.30944864,76.49362151,47,27,10_50,21,Good,Ward 4,Vivek Hake,Good
1437,4,W41709568703990-akK0O,Coconut Tree,Cocos nucifera,19.30953629,76.49364498,48,27,10_50,22,Good,Ward 4,Vivek Hake,Good
1438,4,W41709568705457-akK0O,Coconut Tree,Cocos nucifera,19.30958249,76.49365336,41,23,10_50,18,Good,Ward 4,Vivek Hake,Good
1439,4,W41709568706389-akK0O,Coconut Tree,Cocos nucifera,19.30963564,76.49366945,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1440,4,W41709568707625-akK0O,Coconut Tree,Cocos nucifera,19.30967045,76.49368085,51,29,10_50,23,Good,Ward 4,Vivek Hake,Good
1441,4,W41709568708199-akK0O,Coconut Tree,Cocos nucifera,19.30970589,76.49368253,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1442,4,W41709568708707-akK0O,Coconut Tree,Cocos nucifera,19.30975367,76.49370566,59,34,10_50,26,Good,Ward 4,Vivek Hake,Good
1443,4,W41709568710141-akK0O,Coconut Tree,Cocos nucifera,19.30979417,76.49371337,50,29,10_50,22,Good,Ward 4,Vivek Hake,Good
1444,4,W41709568710844-akK0O,Coconut Tree,Cocos nucifera,19.3098315,76.49372209,28,16,10_50,13,Good,Ward 4,Vivek Hake,Good
1445,4,W41709568748165-akK0O,Coconut Tree,Cocos nucifera,19.31227706,76.49548329,26,15,10_50,12,Good,Ward 4,Vivek Hake,Good
1446,4,W41709568749194-akK0O,Coconut Tree,Cocos nucifera,19.3120369,76.4953636,27,15,10_50,12,Good,Ward 4,Vivek Hake,Good
1447,4,W41709568750592-akK0O,Coconut Tree,Cocos nucifera,19.31204861,76.4955014,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1448,4,W41709568765344-akK0O,Coconut Tree,Cocos nucifera,19.31111899,76.49488918,45,26,10_50,20,Good,Ward 4,Vivek Hake,Good
1449,4,W41709568797160-akK0O,Neem Tree,Azadirachta indica,19.30526494,76.49159711,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1450,4,W41709568798772-akK0O,Neem Tree,Azadirachta indica,19.30530386,76.49152737,72,41,10_50,32,Good,Ward 4,Vivek Hake,Good
1451,4,W41709568799118-akK0O,Neem Tree,Azadirachta indica,19.30539056,76.49160314,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1452,4,W41709568800477-akK0O,Neem Tree,Azadirachta indica,19.30548802,76.49168596,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1453,4,W41709568800864-akK0O,Neem Tree,Azadirachta indica,19.30542695,76.49164271,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1454,4,W41709568801276-akK0O,Neem Tree,Azadirachta indica,19.30551238,76.49157196,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1455,4,W41709568802594-akK0O,Neem Tree,Azadirachta indica,19.30556807,76.4915438,53,30,10_50,24,Good,Ward 4,Vivek Hake,Good
1456,4,W41709568803018-akK0O,Neem Tree,Azadirachta indica,19.30563104,76.49163499,47,27,10_50,21,Good,Ward 4,Vivek Hake,Good
1457,4,W41709568803393-akK0O,Neem Tree,Azadirachta indica,19.30556744,76.49162762,48,27,10_50,22,Good,Ward 4,Vivek Hake,Good
1458,4,W41709568803785-akK0O,Neem Tree,Azadirachta indica,19.30561237,76.4916826,41,23,10_50,18,Good,Ward 4,Vivek Hake,Good
1459,4,W41709568805420-akK0O,Neem Tree,Azadirachta indica,19.30577723,76.49162527,51,29,10_50,23,Good,Ward 4,Vivek Hake,Good
1460,4,W41709568806074-akK0O,Neem Tree,Azadirachta indica,19.30576679,76.49173558,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1461,4,W41709568806939-akK0O,Neem Tree,Azadirachta indica,19.30567692,76.4916816,59,34,10_50,26,Good,Ward 4,Vivek Hake,Good
1462,4,W41709568808685-akK0O,Neem Tree,Azadirachta indica,19.30573958,76.49181202,50,29,10_50,22,Good,Ward 4,Vivek Hake,Good
1463,4,W41709568809356-akK0O,Neem Tree,Azadirachta indica,19.30568642,76.49187002,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1464,4,W41709568868940-akK0O,Tamarind Tree,Tamarindus indica,19.30518046,76.49161085,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1465,4,W41709568871305-akK0O,Tamarind Tree,Tamarindus indica,19.30522982,76.49156593,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1466,4,W41709568872752-akK0O,Tamarind Tree,Tamarindus indica,19.30533582,76.4915552,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1467,4,W41709568873290-akK0O,Tamarind Tree,Tamarindus indica,19.30530354,76.49161857,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1468,4,W41709568873976-akK0O,Tamarind Tree,Tamarindus indica,19.30537031,76.49162494,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1469,4,W41709568875929-akK0O,Tamarind Tree,Tamarindus indica,19.30544404,76.49166517,72,41,10_50,32,Good,Ward 4,Vivek Hake,Good
1470,4,W41709568877854-akK0O,Tamarind Tree,Tamarindus indica,19.30552504,76.49169099,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1471,4,W41709568879206-akK0O,Tamarind Tree,Tamarindus indica,19.30551934,76.49160516,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1472,4,W41709568879975-akK0O,Tamarind Tree,Tamarindus indica,19.30560225,76.49161488,53,30,10_50,24,Good,Ward 4,Vivek Hake,Good
1473,4,W41709568882092-akK0O,Tamarind Tree,Tamarindus indica,19.30571363,76.4917168,47,27,10_50,21,Good,Ward 4,Vivek Hake,Good
1474,4,W41709568882610-akK0O,Tamarind Tree,Tamarindus indica,19.30572059,76.49163097,48,27,10_50,22,Good,Ward 4,Vivek Hake,Good
1475,4,W41709568883657-akK0O,Tamarind Tree,Tamarindus indica,19.3057554,76.4916702,41,23,10_50,18,Good,Ward 4,Vivek Hake,Good
1476,4,W41709568885792-akK0O,Tamarind Tree,Tamarindus indica,19.30578103,76.49176341,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1477,4,W41709568889152-akK0O,Tamarind Tree,Tamarindus indica,19.30547979,76.4915495,51,29,10_50,23,Good,Ward 4,Vivek Hake,Good
1478,4,W41709568890018-akK0O,Tamarind Tree,Tamarindus indica,19.30546271,76.49148177,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1479,4,W41709568906074-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30530133,76.49156492,50,29,10_50,22,Good,Ward 4,Vivek Hake,Good
1480,4,W41709568906758-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30538581,76.49152905,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1481,4,W41709568907444-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30526652,76.49147842,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1482,4,W41709568910884-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30536208,76.49155989,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1483,4,W41709568911522-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3054067,76.49157196,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1484,4,W41709568912629-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30546492,76.49163768,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1485,4,W41709568913228-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3054972,76.49165578,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1486,4,W41709568913784-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30545922,76.49157766,45,26,10_50,20,Good,Ward 4,Vivek Hake,Good
1487,4,W41709568914483-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30554909,76.49158671,57,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1488,4,W41709568915982-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3055358,76.49149217,54,31,10_50,24,Good,Ward 4,Vivek Hake,Good
1489,4,W41709568918542-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30563104,76.49159376,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1490,4,W41709568922532-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30566332,76.49163064,74,42,10_50,33,Good,Ward 4,Vivek Hake,Good
1491,4,W41709568923592-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30570034,76.49166852,72,41,10_50,32,Good,Ward 4,Vivek Hake,Good
1492,4,W41709568924636-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30573293,76.4915951,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1493,4,W41709568925938-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30574812,76.49154883,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1494,4,W41709568926556-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30580507,76.49165645,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1495,4,W41709568927307-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30587659,76.49158772,48,27,10_50,22,Good,Ward 4,Vivek Hake,Good
1496,4,W41709568928562-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30578261,76.49170406,41,23,10_50,18,Good,Ward 4,Vivek Hake,Good
1497,4,W41709568930420-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30572186,76.49186902,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1498,4,W41709568930909-akK0O,Gum Arabic Tree,Vachellia nilotica,19.305688,76.4919468,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1499,4,W41709568931446-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30575698,76.49188444,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1500,4,W41709568932945-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30570034,76.49198201,45,26,10_50,20,Good,Ward 4,Vivek Hake,Good
1501,4,W41709568933434-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30566142,76.49202794,57,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1502,4,W41709568934477-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30570477,76.49203733,54,31,10_50,24,Good,Ward 4,Vivek Hake,Good
1503,4,W41709568934917-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30573799,76.49193607,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1504,4,W41709568936463-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30573072,76.49199307,74,42,10_50,33,Good,Ward 4,Vivek Hake,Good
1505,4,W41709568937104-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3057228,76.49207018,72,41,10_50,32,Good,Ward 4,Vivek Hake,Good
1506,4,W41709568937636-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30565984,76.49206549,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1507,4,W41709568938257-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30562598,76.4921426,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1508,4,W41709568939853-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30568768,76.49210539,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1509,4,W41709568940423-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30565731,76.49220329,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1510,4,W41709568940914-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30560256,76.4921996,53,30,10_50,24,Good,Ward 4,Vivek Hake,Good
1511,4,W41709568942821-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30560921,76.49227571,47,27,10_50,21,Good,Ward 4,Vivek Hake,Good
1512,4,W41709568943388-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30569401,76.49228845,48,27,10_50,22,Good,Ward 4,Vivek Hake,Good
1513,4,W41709568945033-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3055782,76.49233572,41,23,10_50,18,Good,Ward 4,Vivek Hake,Good
1514,4,W41709568945590-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30557725,76.49238836,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1515,4,W41709568946079-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3056149,76.49241485,51,29,10_50,23,Good,Ward 4,Vivek Hake,Good
1516,4,W41709568946631-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3055975,76.49235483,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1517,4,W41709568947284-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30562408,76.49237126,59,34,10_50,26,Good,Ward 4,Vivek Hake,Good
1518,4,W41709568949157-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30557852,76.49250235,50,29,10_50,22,Good,Ward 4,Vivek Hake,Good
1519,4,W41709568949648-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30552789,76.49261165,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1520,4,W41709568952781-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30547694,76.49287552,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1521,4,W41709568953252-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30545163,76.49279505,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1522,4,W41709568953738-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30546777,76.49291743,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
1523,4,W41709568954212-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30550922,76.49281114,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1524,4,W41709568955352-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30554719,76.4928326,45,26,10_50,20,Good,Ward 4,Vivek Hake,Good
1525,4,W41709568955695-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30556175,76.49278935,72,41,10_50,32,Good,Ward 4,Vivek Hake,Good
1526,4,W41709568960486-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30544309,76.49285909,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1527,4,W41709568961905-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30542442,76.49299789,48,27,10_50,22,Good,Ward 4,Vivek Hake,Good
1528,4,W41709568962593-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30547726,76.49300829,41,23,10_50,18,Good,Ward 4,Vivek Hake,Good
1529,4,W41709568962931-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30541208,76.49306361,49,28,10_50,22,Good,Ward 4,Vivek Hake,Good
1530,4,W41709568964888-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30538297,76.49314709,51,29,10_50,23,Good,Ward 4,Vivek Hake,Good
1531,4,W41709568980099-akK0O,Neem Tree,Azadirachta indica,19.30548042,76.49273504,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1532,4,W41709568980818-akK0O,Neem Tree,Azadirachta indica,19.30555289,76.49275482,59,34,10_50,26,Good,Ward 4,Vivek Hake,Good
1533,4,W41709568981646-akK0O,Neem Tree,Azadirachta indica,19.3054703,76.49284568,50,29,10_50,22,Good,Ward 4,Vivek Hake,Good
1534,4,W41709568984205-akK0O,Neem Tree,Azadirachta indica,19.30550954,76.4929191,58,33,10_50,26,Good,Ward 4,Vivek Hake,Good
1535,4,W41709568986975-akK0O,Neem Tree,Azadirachta indica,19.30554941,76.49255633,65,37,10_50,29,Good,Ward 4,Vivek Hake,Good
1536,4,W41709568989061-akK0O,Neem Tree,Azadirachta indica,19.30564307,76.4925845,54,31,10_50,24,Good,Ward 4,Vivek Hake,Good
1537,4,W41709568989401-akK0O,Neem Tree,Azadirachta indica,19.30565699,76.4925513,62,35,10_50,28,Good,Ward 4,Vivek Hake,Good
1538,4,W41709568995723-akK0O,Neem Tree,Azadirachta indica,19.30540322,76.49351623,72,41,10_50,32,Good,Ward 4,Vivek Hake,Good
1539,4,W41709569000710-akK0O,Neem Tree,Azadirachta indica,19.30605505,76.49321515,52,30,10_50,23,Good,Ward 4,Vivek Hake,Good
